event,peak_time,peak_val,minc,maxc,alert_streak,error_streak
ALERT,360.0,1.5650936,1.3722,2.0583,3,0
ALERT,480.0,1.7912844,1.3722,2.0583,3,0
ALERT,510.0,1.6286771999999998,1.3722,2.0583,4,0
ALERT,1020.0,1.4905654000000002,1.3722,2.0583,3,0
ALERT,1050.0,1.7037264,1.3722,2.0583,4,0
ALERT,1080.0,1.9439888000000003,1.3722,2.0583,5,0
ALERT,1110.0,1.7897204,1.3722,2.0583,6,0
ALERT,1140.0,1.9731746,1.3722,2.0583,7,0
ALERT,1170.0,1.9731746,1.3722,2.0583,8,0
ALERT,1200.0,1.8934346,1.3722,2.0583,9,0
ALERT,1230.0,1.903337,1.3722,2.0583,10,0
ALERT,2580.0,1.7282213999999998,1.3722,2.0583,3,0
ALERT,2610.0,1.7282213999999998,1.3722,2.0583,4,0
ALERT,3060.0,1.3837237999999998,1.3722,2.0583,3,0
ALERT,3480.0,1.4759724,1.3722,2.0583,3,0
ALERT,3510.0,1.4931714,1.3722,2.0583,4,0
ALERT,3780.0,1.7407296,1.3722,2.0583,3,0
ALERT,3810.0,1.884053,1.3722,2.0583,4,0
ALERT,3840.0,1.6635952,1.3722,2.0583,5,0
ALERT,3870.0,1.4598154000000003,1.3722,2.0583,6,0
ALERT,4140.0,1.8856174,1.3722,2.0583,3,0
ALERT,4170.0,1.7386452,1.3722,2.0583,4,0
ALERT,4200.0,1.4045711999999997,1.3722,2.0583,5,0
ALERT,5490.0,1.8262032,1.3722,2.0583,3,0
ALERT,5520.0,1.819949,1.3722,2.0583,4,0
ALERT,5880.0,1.5557118000000003,1.3722,2.0583,3,0
ALERT,5910.0,1.5557118000000003,1.3722,2.0583,4,0
ALERT,6030.0,2.1118074,1.3722,2.0583,3,1
ALERT,6060.0,2.252525,1.3722,2.0583,4,2
ERROR,6060.0,2.252525,1.3722,2.0583,4,2
