Trait,Axis #1,Axis #2,Axis #3,Axis #4,Axis #5,Axis #6,Axis #7,Axis #8,Time,Elapsed_Seconds,Axis1_Smooth
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:23.660000+00:00,0.0,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:25.472000+00:00,1.812,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:27.348000+00:00,3.688,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:29.222000+00:00,5.562,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:31.117000+00:00,7.457,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:32.964000+00:00,9.304,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:34.894000+00:00,11.234,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:36.782000+00:00,13.122,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:38.708000+00:00,15.048,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:40.529000+00:00,16.869,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:42.456000+00:00,18.796,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:44.383000+00:00,20.723,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:46.247000+00:00,22.587,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:48.128000+00:00,24.468,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:49.999000+00:00,26.339,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:51.864000+00:00,28.204,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:53.706000+00:00,30.046,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:55.575000+00:00,31.915,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:57.492000+00:00,33.832,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:18:59.409000+00:00,35.749,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:01.276000+00:00,37.616,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:03.182000+00:00,39.522,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:05.108000+00:00,41.448,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:06.996000+00:00,43.336,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:08.847000+00:00,45.187,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:10.701000+00:00,47.041,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:12.568000+00:00,48.908,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:14.427000+00:00,50.767,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:16.386000+00:00,52.726,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:18.218000+00:00,54.558,0.5216978
current,0.33876,2.89931,4.32261,0.10324,0.61943,0.542,3.87537,0.01962,2022-10-17 12:19:20.136000+00:00,56.476,0.5216978
current,7.37465,29.94201,16.81602,5.34255,6.3233,4.92959,0.46504,0.07848,2022-10-17 12:19:22.005000+00:00,58.345,0.5216978
current,0.443,11.22826,3.47918,2.11637,4.43922,4.61988,4.01847,0.13734,2022-10-17 12:19:27.952000+00:00,64.292,0.5216978
current,1.79806,20.13706,10.54296,1.67761,4.05208,0.85171,0.19079,0.21582,2022-10-17 12:19:29.911000+00:00,66.251,0.5216978
current,4.45606,1.7923,4.53347,0.56781,0.61943,1.03238,0.14309,0.21582,2022-10-17 12:19:31.969000+00:00,68.309,0.5216978
current,0.23453,12.33527,2.95203,1.05819,1.70342,1.34209,0.08347,0.21582,2022-10-17 12:19:33.946000+00:00,70.286,0.5216978
current,0.15635,8.75066,1.26516,0.05162,0.05162,0.20648,8.06078,0.21582,2022-10-17 12:19:35.905000+00:00,72.245,0.5216978
current,0.28665,10.91197,5.95677,0.542,0.12905,0.92914,0.3935,0.21582,2022-10-17 12:19:37.918000+00:00,74.258,0.5216978
current,1.43324,4.79705,1.7923,1.96151,1.03238,0.12905,7.50034,0.25506,2022-10-17 12:19:39.841000+00:00,76.181,0.5216978
current,4.06518,7.32736,10.06853,2.89065,5.34255,0.12905,0.22656,0.25506,2022-10-17 12:19:41.758000+00:00,78.098,0.5216978
current,0.52118,4.84976,37.42752,2.89065,0.15486,8.72358,0.11924,0.21582,2022-10-17 12:19:43.676000+00:00,80.016,0.5216978
current,4.45606,6.69478,23.87981,0.18067,0.12905,6.29749,0.19079,1.2753,2022-10-17 12:19:45.594000+00:00,81.934,0.5216978
current,0.13029,4.32261,6.27306,0.25809,0.77428,0.15486,1.65747,1.53036,2022-10-17 12:19:47.370000+00:00,83.71,0.5216978
current,0.15635,4.2699,18.60833,5.00702,1.72923,3.8456,0.72738,0.11772,2022-10-17 12:19:49.533000+00:00,85.873,0.5216978
current,0.23453,3.9009,6.90564,0.77428,0.77428,0.77428,0.0,0.0,2022-10-17 12:19:51.451000+00:00,87.791,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:53.269000+00:00,89.609,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:55.136000+00:00,91.476,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:57.023000+00:00,93.363,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:19:58.942000+00:00,95.282,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:00.883000+00:00,97.223,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:02.705000+00:00,99.045,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:04.512000+00:00,100.852,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:06.394000+00:00,102.734,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:08.236000+00:00,104.576,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:10.206000+00:00,106.546,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:12.063000+00:00,108.403,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:13.972000+00:00,110.312,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:15.839000+00:00,112.179,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:17.673000+00:00,114.013,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:19.550000+00:00,115.89,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:21.408000+00:00,117.748,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:23.317000+00:00,119.657,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:25.183000+00:00,121.523,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:27.089000+00:00,123.429,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:32.470000+00:00,128.81,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:34.327000+00:00,130.667,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:36.184000+00:00,132.524,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:38.049000+00:00,134.389,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:39.971000+00:00,136.311,0.5216978
current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-17 12:20:41.836000+00:00,138.176,0.5216978
